case_id,sanctuary_id,case_type,region,state,resource_type,candidate_evidence_count,family_counts,query_text,target_evidence_ids
case_023b13d6b029b257,sanctuary_8e90d7fd3dcb0d,operations_facility_route,7,AK,NWR,15,BUILDING:3; PARKING:1; PROPERTY:10; ROAD:1,"Reconstruct an ordered refuge evidence route for intent operations_facility_route. Recover the strongest evidence route for facility/property operations and boundary support. Use the evidence catalog rows that share this case's sanctuary_id. Prefer the first strong record available from each family in this order: PROPERTY | BUILDING | GATE | FENCE | ROAD | WATER_LINE | WATER_POINT. Within a family, the public evidence text is intentionally lossy; use the training routes to infer which normalized attributes, family context, and source patterns tend to indicate stronger evidence. This sanctuary has 15 candidate evidence rows with family counts: BUILDING:3; PARKING:1; PROPERTY:10; ROAD:1.",ev_property_91836793ca11a6e6 | ev_building_12fe39956baac5d8 | ev_road_35f1078bcb2383c0
case_024018d801da1052,sanctuary_24f6c2d03c3069,hydrology_repair_route,3,MN,NWR,75,ACCESS:6; BLIND:1; BUILDING:6; GATE:8; PARKING:6; PROPERTY:19; ROAD:2; TRAIL:17; TRAIL_NOTE:7; WATER_LINE:3,"Reconstruct an ordered refuge evidence route for intent hydrology_repair_route. Recover the strongest evidence route for water-control risk and access continuity. Use the evidence catalog rows that share this case's sanctuary_id. Prefer the first strong record available from each family in this order: WATER_LINE | WATER_POINT | ACCESS | GATE | ROAD | PARKING | FENCE. Within a family, the public evidence text is intentionally lossy; use the training routes to infer which normalized attributes, family context, and source patterns tend to indicate stronger evidence. This sanctuary has 75 candidate evidence rows with family counts: ACCESS:6; BLIND:1; BUILDING:6; GATE:8; PARKING:6; PROPERTY:19; ROAD:2; TRAIL:17; TRAIL_NOTE:7; WATER_LINE:3.",ev_water_line_cd81aa6103b1f662 | ev_access_023456e60ca211c3 | ev_gate_16405f9399721a27 | ev_road_9fac3958bfcc1f28 | ev_parking_8dd8d268fedb7f65
case_024df201e2995de1,sanctuary_e9b9cca8427b4d,visitor_access_route,8,CA,NWR,80,ACCESS:5; BUILDING:2; GATE:7; PARKING:1; PROPERTY:16; TRAIL:33; TRAIL_NOTE:16,"Reconstruct an ordered refuge evidence route for intent visitor_access_route. Recover the strongest evidence route for visitor movement, trails, parking, roads, and public-use support. Use the evidence catalog rows that share this case's sanctuary_id. Prefer the first strong record available from each family in this order: TRAIL | TRAIL_NOTE | PARKING | ROAD | ACCESS | BUILDING | BLIND. Within a family, the public evidence text is intentionally lossy; use the training routes to infer which normalized attributes, family context, and source patterns tend to indicate stronger evidence. This sanctuary has 80 candidate evidence rows with family counts: ACCESS:5; BUILDING:2; GATE:7; PARKING:1; PROPERTY:16; TRAIL:33; TRAIL_NOTE:16.",ev_trail_4653f362f7cccf67 | ev_trail_note_f7a9d412fd05caf6 | ev_parking_8f438eeac7503ac9 | ev_access_dd20f8a9b37ef894 | ev_building_1cec026002d802c4
case_0262dbffe5ab8b1a,sanctuary_903c8ba52232a6,hydrology_repair_route,3,IL,NWR,231,ACCESS:2; BUILDING:3; GATE:20; PARKING:32; PROPERTY:64; ROAD:2; TRAIL:21; TRAIL_NOTE:10; WATER_LINE:73; WATER_POINT:4,"Reconstruct an ordered refuge evidence route for intent hydrology_repair_route. Recover the strongest evidence route for water-control risk and access continuity. Use the evidence catalog rows that share this case's sanctuary_id. Prefer the first strong record available from each family in this order: WATER_LINE | WATER_POINT | ACCESS | GATE | ROAD | PARKING | FENCE. Within a family, the public evidence text is intentionally lossy; use the training routes to infer which normalized attributes, family context, and source patterns tend to indicate stronger evidence. This sanctuary has 231 candidate evidence rows with family counts: ACCESS:2; BUILDING:3; GATE:20; PARKING:32; PROPERTY:64; ROAD:2; TRAIL:21; TRAIL_NOTE:10; WATER_LINE:73; WATER_POINT:4.",ev_water_line_a134f37f1950f71a | ev_water_point_eec209bb1d3709c3 | ev_access_6baa45766ec31ae1 | ev_gate_d538b0ab230fe960 | ev_road_630a21f3e90620da | ev_parking_daa5ac35d8fda1db
case_0378d8b5c832e991,sanctuary_e9c51a3783a8b4,visitor_access_route,8,CA,NWR,32,PARKING:8; ROAD:3; TRAIL:12; TRAIL_NOTE:4; WATER_LINE:5,"Reconstruct an ordered refuge evidence route for intent visitor_access_route. Recover the strongest evidence route for visitor movement, trails, parking, roads, and public-use support. Use the evidence catalog rows that share this case's sanctuary_id. Prefer the first strong record available from each family in this order: TRAIL | TRAIL_NOTE | PARKING | ROAD | ACCESS | BUILDING | BLIND. Within a family, the public evidence text is intentionally lossy; use the training routes to infer which normalized attributes, family context, and source patterns tend to indicate stronger evidence. This sanctuary has 32 candidate evidence rows with family counts: PARKING:8; ROAD:3; TRAIL:12; TRAIL_NOTE:4; WATER_LINE:5.",ev_trail_8bddd1ec4f304efa | ev_trail_note_ad816cba35c78e72 | ev_parking_267d0e83a9bbd36e | ev_road_2ef64371beb15393
case_03a60d8c1cd11c53,sanctuary_8001d9c96ae5f0,operations_facility_route,4,GA,NFH,36,BUILDING:4; PARKING:7; PROPERTY:17; ROAD:2; TRAIL:5; TRAIL_NOTE:1,"Reconstruct an ordered refuge evidence route for intent operations_facility_route. Recover the strongest evidence route for facility/property operations and boundary support. Use the evidence catalog rows that share this case's sanctuary_id. Prefer the first strong record available from each family in this order: PROPERTY | BUILDING | GATE | FENCE | ROAD | WATER_LINE | WATER_POINT. Within a family, the public evidence text is intentionally lossy; use the training routes to infer which normalized attributes, family context, and source patterns tend to indicate stronger evidence. This sanctuary has 36 candidate evidence rows with family counts: BUILDING:4; PARKING:7; PROPERTY:17; ROAD:2; TRAIL:5; TRAIL_NOTE:1.",ev_property_3911b59e3e5d7fcb | ev_building_fcee0570483f5c35 | ev_road_029307090c426a6f
case_03a8fdb91a2e9073,sanctuary_82a02245756a62,operations_facility_route,3,MO,NWR,193,BLIND:5; BUILDING:3; GATE:38; PARKING:21; PROPERTY:53; ROAD:31; TRAIL:22; TRAIL_NOTE:9; WATER_LINE:11,"Reconstruct an ordered refuge evidence route for intent operations_facility_route. Recover the strongest evidence route for facility/property operations and boundary support. Use the evidence catalog rows that share this case's sanctuary_id. Prefer the first strong record available from each family in this order: PROPERTY | BUILDING | GATE | FENCE | ROAD | WATER_LINE | WATER_POINT. Within a family, the public evidence text is intentionally lossy; use the training routes to infer which normalized attributes, family context, and source patterns tend to indicate stronger evidence. This sanctuary has 193 candidate evidence rows with family counts: BLIND:5; BUILDING:3; GATE:38; PARKING:21; PROPERTY:53; ROAD:31; TRAIL:22; TRAIL_NOTE:9; WATER_LINE:11.",ev_property_734678239762ff5c | ev_building_26a489748975f8b0 | ev_gate_3abaf16e992f716a | ev_road_c46ad8613a990221 | ev_water_line_046a933f84050a27
case_03c6119bd2122753,sanctuary_2ee734f8fa5a33,operations_facility_route,4,NC,NWR,130,ACCESS:3; BUILDING:6; GATE:5; PARKING:34; PROPERTY:45; ROAD:23; TRAIL:10; TRAIL_NOTE:4,"Reconstruct an ordered refuge evidence route for intent operations_facility_route. Recover the strongest evidence route for facility/property operations and boundary support. Use the evidence catalog rows that share this case's sanctuary_id. Prefer the first strong record available from each family in this order: PROPERTY | BUILDING | GATE | FENCE | ROAD | WATER_LINE | WATER_POINT. Within a family, the public evidence text is intentionally lossy; use the training routes to infer which normalized attributes, family context, and source patterns tend to indicate stronger evidence. This sanctuary has 130 candidate evidence rows with family counts: ACCESS:3; BUILDING:6; GATE:5; PARKING:34; PROPERTY:45; ROAD:23; TRAIL:10; TRAIL_NOTE:4.",ev_property_4c054c9eaa49f521 | ev_building_395ef8255990a1ec | ev_gate_db5ed5f2525eb0ff | ev_road_3241917e117f7470
case_03dafafb0a06788f,sanctuary_e00de1ad7d1438,hydrology_repair_route,2,NM,NWR,25,ACCESS:1; BUILDING:3; GATE:1; PARKING:2; PROPERTY:9; ROAD:8; TRAIL:1,"Reconstruct an ordered refuge evidence route for intent hydrology_repair_route. Recover the strongest evidence route for water-control risk and access continuity. Use the evidence catalog rows that share this case's sanctuary_id. Prefer the first strong record available from each family in this order: WATER_LINE | WATER_POINT | ACCESS | GATE | ROAD | PARKING | FENCE. Within a family, the public evidence text is intentionally lossy; use the training routes to infer which normalized attributes, family context, and source patterns tend to indicate stronger evidence. This sanctuary has 25 candidate evidence rows with family counts: ACCESS:1; BUILDING:3; GATE:1; PARKING:2; PROPERTY:9; ROAD:8; TRAIL:1.",ev_access_9f42aadf27459b58 | ev_gate_73c8cf8429e97905 | ev_road_cc293e3499365187 | ev_parking_79ea516ba7800a5e
case_04742d79b4f7074b,sanctuary_a605666e428b7a,visitor_access_route,6,WY,NWR,171,ACCESS:1; GATE:1; PARKING:9; PROPERTY:13; ROAD:1; TRAIL:1; TRAIL_NOTE:1; WATER_LINE:143; WATER_POINT:1,"Reconstruct an ordered refuge evidence route for intent visitor_access_route. Recover the strongest evidence route for visitor movement, trails, parking, roads, and public-use support. Use the evidence catalog rows that share this case's sanctuary_id. Prefer the first strong record available from each family in this order: TRAIL | TRAIL_NOTE | PARKING | ROAD | ACCESS | BUILDING | BLIND. Within a family, the public evidence text is intentionally lossy; use the training routes to infer which normalized attributes, family context, and source patterns tend to indicate stronger evidence. This sanctuary has 171 candidate evidence rows with family counts: ACCESS:1; GATE:1; PARKING:9; PROPERTY:13; ROAD:1; TRAIL:1; TRAIL_NOTE:1; WATER_LINE:143; WATER_POINT:1.",ev_trail_3df4cad98fa5c2dd | ev_trail_note_b029e81462e7cf32 | ev_parking_b360dfa85a168f1f | ev_road_7dea2f2c2e111c77 | ev_access_8a2f0e08ff7d8c38
case_04ddbbe0f65b361a,sanctuary_557180e9d849f7,visitor_access_route,4,AL,NWR,108,ACCESS:7; BUILDING:11; GATE:9; PARKING:14; PROPERTY:47; ROAD:11; TRAIL:4; TRAIL_NOTE:4; WATER_LINE:1,"Reconstruct an ordered refuge evidence route for intent visitor_access_route. Recover the strongest evidence route for visitor movement, trails, parking, roads, and public-use support. Use the evidence catalog rows that share this case's sanctuary_id. Prefer the first strong record available from each family in this order: TRAIL | TRAIL_NOTE | PARKING | ROAD | ACCESS | BUILDING | BLIND. Within a family, the public evidence text is intentionally lossy; use the training routes to infer which normalized attributes, family context, and source patterns tend to indicate stronger evidence. This sanctuary has 108 candidate evidence rows with family counts: ACCESS:7; BUILDING:11; GATE:9; PARKING:14; PROPERTY:47; ROAD:11; TRAIL:4; TRAIL_NOTE:4; WATER_LINE:1.",ev_trail_0e6fd299f6264aa9 | ev_trail_note_7363e6a4d4b3591b | ev_parking_3436b71a6fe2a440 | ev_road_13f490a30448a9e2 | ev_access_a5ea0ca64f92f479 | ev_building_ed65f3c52b578399
case_05390a3a20d7171d,sanctuary_69080e3a13f1d0,operations_facility_route,1,WA,NWR,175,ACCESS:12; BLIND:8; BUILDING:10; GATE:50; PARKING:8; PROPERTY:24; TRAIL:40; TRAIL_NOTE:21; WATER_LINE:2,"Reconstruct an ordered refuge evidence route for intent operations_facility_route. Recover the strongest evidence route for facility/property operations and boundary support. Use the evidence catalog rows that share this case's sanctuary_id. Prefer the first strong record available from each family in this order: PROPERTY | BUILDING | GATE | FENCE | ROAD | WATER_LINE | WATER_POINT. Within a family, the public evidence text is intentionally lossy; use the training routes to infer which normalized attributes, family context, and source patterns tend to indicate stronger evidence. This sanctuary has 175 candidate evidence rows with family counts: ACCESS:12; BLIND:8; BUILDING:10; GATE:50; PARKING:8; PROPERTY:24; TRAIL:40; TRAIL_NOTE:21; WATER_LINE:2.",ev_property_7820a6405b304e71 | ev_building_16bcb63f2ddc6f53 | ev_gate_9edd4504547334dc | ev_water_line_950169ffcab10073
case_05b273b783cca3fb,sanctuary_4b4dfbb674159e,operations_facility_route,4,FL,NWR,220,BUILDING:14; GATE:12; PARKING:21; PROPERTY:59; ROAD:7; TRAIL:92; TRAIL_NOTE:15,"Reconstruct an ordered refuge evidence route for intent operations_facility_route. Recover the strongest evidence route for facility/property operations and boundary support. Use the evidence catalog rows that share this case's sanctuary_id. Prefer the first strong record available from each family in this order: PROPERTY | BUILDING | GATE | FENCE | ROAD | WATER_LINE | WATER_POINT. Within a family, the public evidence text is intentionally lossy; use the training routes to infer which normalized attributes, family context, and source patterns tend to indicate stronger evidence. This sanctuary has 220 candidate evidence rows with family counts: BUILDING:14; GATE:12; PARKING:21; PROPERTY:59; ROAD:7; TRAIL:92; TRAIL_NOTE:15.",ev_property_47bd36f4c1437733 | ev_building_f5936b4e5b53de34 | ev_gate_f6e29fa5995eb807 | ev_road_b5ae590ffc65537f
case_0614cab731410a98,sanctuary_c9275e115ed857,hydrology_repair_route,4,LA,NWR,211,ACCESS:3; BUILDING:4; GATE:9; PARKING:29; PROPERTY:53; ROAD:11; TRAIL:62; TRAIL_NOTE:35; WATER_LINE:1; WATER_POINT:4,"Reconstruct an ordered refuge evidence route for intent hydrology_repair_route. Recover the strongest evidence route for water-control risk and access continuity. Use the evidence catalog rows that share this case's sanctuary_id. Prefer the first strong record available from each family in this order: WATER_LINE | WATER_POINT | ACCESS | GATE | ROAD | PARKING | FENCE. Within a family, the public evidence text is intentionally lossy; use the training routes to infer which normalized attributes, family context, and source patterns tend to indicate stronger evidence. This sanctuary has 211 candidate evidence rows with family counts: ACCESS:3; BUILDING:4; GATE:9; PARKING:29; PROPERTY:53; ROAD:11; TRAIL:62; TRAIL_NOTE:35; WATER_LINE:1; WATER_POINT:4.",ev_water_line_a82c86dfcf264dfd | ev_water_point_49bddd7d34c241eb | ev_access_4bb8284330d42d89 | ev_gate_77e51542ad8a1ef6 | ev_road_cd347b5b0f6af6e8 | ev_parking_5f4e8b9d9a2a495a
case_061634c468efbaee,sanctuary_e535084b0e0017,operations_facility_route,4,GA,NWR,101,BUILDING:6; GATE:6; PARKING:10; PROPERTY:28; ROAD:4; TRAIL:30; TRAIL_NOTE:17,"Reconstruct an ordered refuge evidence route for intent operations_facility_route. Recover the strongest evidence route for facility/property operations and boundary support. Use the evidence catalog rows that share this case's sanctuary_id. Prefer the first strong record available from each family in this order: PROPERTY | BUILDING | GATE | FENCE | ROAD | WATER_LINE | WATER_POINT. Within a family, the public evidence text is intentionally lossy; use the training routes to infer which normalized attributes, family context, and source patterns tend to indicate stronger evidence. This sanctuary has 101 candidate evidence rows with family counts: BUILDING:6; GATE:6; PARKING:10; PROPERTY:28; ROAD:4; TRAIL:30; TRAIL_NOTE:17.",ev_property_3149596baf181f52 | ev_building_c3068d2953e869a0 | ev_gate_29a4448a2a582693 | ev_road_178e7ae3f618e1b6
case_0622d5c06af31a59,sanctuary_f4944f91754e9c,hydrology_repair_route,2,NM,NWR,28,BUILDING:5; GATE:2; PARKING:2; PROPERTY:3; ROAD:12; TRAIL_NOTE:4,"Reconstruct an ordered refuge evidence route for intent hydrology_repair_route. Recover the strongest evidence route for water-control risk and access continuity. Use the evidence catalog rows that share this case's sanctuary_id. Prefer the first strong record available from each family in this order: WATER_LINE | WATER_POINT | ACCESS | GATE | ROAD | PARKING | FENCE. Within a family, the public evidence text is intentionally lossy; use the training routes to infer which normalized attributes, family context, and source patterns tend to indicate stronger evidence. This sanctuary has 28 candidate evidence rows with family counts: BUILDING:5; GATE:2; PARKING:2; PROPERTY:3; ROAD:12; TRAIL_NOTE:4.",ev_gate_f44de2d00ac8c990 | ev_road_1bd1e6047855422a | ev_parking_207523e434085d58
case_0627b3e09f13eb00,sanctuary_f894d1f7b5b171,visitor_access_route,5,ME,NWR,245,BLIND:1; BUILDING:2; GATE:86; PARKING:19; PROPERTY:42; ROAD:28; TRAIL:40; TRAIL_NOTE:23; WATER_LINE:1; WATER_POINT:3,"Reconstruct an ordered refuge evidence route for intent visitor_access_route. Recover the strongest evidence route for visitor movement, trails, parking, roads, and public-use support. Use the evidence catalog rows that share this case's sanctuary_id. Prefer the first strong record available from each family in this order: TRAIL | TRAIL_NOTE | PARKING | ROAD | ACCESS | BUILDING | BLIND. Within a family, the public evidence text is intentionally lossy; use the training routes to infer which normalized attributes, family context, and source patterns tend to indicate stronger evidence. This sanctuary has 245 candidate evidence rows with family counts: BLIND:1; BUILDING:2; GATE:86; PARKING:19; PROPERTY:42; ROAD:28; TRAIL:40; TRAIL_NOTE:23; WATER_LINE:1; WATER_POINT:3.",ev_trail_ef64265360b46aae | ev_trail_note_aedbcfb3bd915667 | ev_parking_922a943c1a757b62 | ev_road_d1b957c7d23666e4 | ev_building_0fa2a1c22ddfcbe0 | ev_blind_fd792429c526a515
case_063340601badeaf8,sanctuary_d69a0850b7e0b3,operations_facility_route,5,WV,AS,54,BUILDING:9; GATE:2; PROPERTY:22; TRAIL_NOTE:21,"Reconstruct an ordered refuge evidence route for intent operations_facility_route. Recover the strongest evidence route for facility/property operations and boundary support. Use the evidence catalog rows that share this case's sanctuary_id. Prefer the first strong record available from each family in this order: PROPERTY | BUILDING | GATE | FENCE | ROAD | WATER_LINE | WATER_POINT. Within a family, the public evidence text is intentionally lossy; use the training routes to infer which normalized attributes, family context, and source patterns tend to indicate stronger evidence. This sanctuary has 54 candidate evidence rows with family counts: BUILDING:9; GATE:2; PROPERTY:22; TRAIL_NOTE:21.",ev_property_bb13bf0556483d91 | ev_building_41994483b03d7881 | ev_gate_e581fb912a149183
